feature,orth_corr
feature_Agouti,0.08988696334054377
feature_Tazzarine,0.08882318624084312
feature_Takerkoust,0.08435877941762789
feature_Azzaden,-0.07207960928042702
feature_Amazigh,-0.07113712107457652
feature_Midelt,0.06956669535647671
feature_Zerrouka,0.0693737839410564
feature_Amane,0.06902502633490852
feature_Tafraout,-0.0685865023600572
feature_Boutferda,0.06854361433514983
feature_Ighzer,-0.06809950669527381
feature_Iferd,-0.06586052041407982
feature_Tarhzirt,-0.06580521646704823
feature_Tanaghmelt,0.06294518682867337
feature_Ouarzazate,-0.061210679396997626
feature_Rich,-0.06049149890948693
feature_Azaghar,-0.060070680295531004
feature_Tagmat,-0.05660375004206114
feature_Chefchaouen,-0.056187378434191096
feature_Tagoudiche,0.055525507372264166
feature_Imilchil,0.05474931484617694
feature_Tafouk,0.05151449821016582
feature_Tizinisly,-0.049367029933687995
feature_Zat,-0.04748016540714977
feature_Mzik,0.046440499810070736
feature_Ouneine,0.04601447690635827
feature_Imenane,-0.040821027631137076
feature_Mrirt,0.03866867854017767
feature_Afourgagh,0.03835745408342767
feature_Anti,-0.037221769793874426
feature_Khenifra,-0.03575806778935314
feature_Tazarine,0.035554681863228244
feature_Ounila,0.0347482036989478
feature_Nkob,-0.03409666593858159
feature_Sebou,0.033902730843155315
feature_Lalla,0.033409127206328895
feature_Tinghir,0.03270262698051588
feature_Tazouta,-0.03259662544613
feature_Ismdal,-0.03202395745584063
feature_Tizgui,0.03143995321029085
feature_Tislit,-0.028903338777240935
feature_Aghbala,0.02869831333964163
feature_Amtoudi,0.02824997196035066
feature_Arred,0.028171880369284367
feature_Tidighin,-0.02700424215621355
feature_Anfgou,-0.02668459733256328
feature_Azilal,-0.02667641340449667
feature_Aguelmame,0.025122087549105963
feature_Aitleghrissi,0.024194689023212954
feature_Zaouiat,0.022554911314769242
feature_Tazekka,0.02215557488852245
feature_Tabant,-0.021745645741958815
feature_Adfel,-0.020691406317473494
feature_Tamazight,0.020516138745323882
feature_Tessaout,0.01972731419545137
feature_Ahermoumou,-0.019292420441945943
feature_Ighiln,-0.019248590984095443
feature_Wansif,-0.01868267235870227
feature_Ansif,0.018617455741536396
feature_Bzou,-0.018420042585072655
feature_Anzal,-0.018340101790229865
feature_Boumalne,-0.018210839166573047
feature_Tarhia,-0.01782793845602138
feature_Asaka,-0.017783760007787853
feature_Kelaa,-0.01738002948474775
feature_Ouattar,-0.017193911981243554
feature_Argan,0.01682980553167041
feature_Talat,-0.016742713232826032
feature_Tinmel,-0.016038680544648787
feature_Aroumd,-0.01583527475732512
feature_Naour,-0.015246029519161906
feature_Moulouya,-0.014909202281825108
feature_Tanougha,0.014783250553959631
feature_Settifatma,0.014100060595890586
feature_Tizgza,-0.013946128625814189
feature_Anzar,-0.01387759831815856
feature_Waouizarht,-0.013760980489979611
feature_Tarourirt,0.013572353757950663
feature_Erfoud,-0.01331342746411763
feature_Tagant,-0.012867679807645468
feature_Kasbah,-0.012849323526764067
feature_Tafoughalt,0.012380801067905952
feature_Oussem,0.01209204182175985
feature_Sidiali,0.011886299119059513
feature_Bouguemez,-0.011840854956818988
feature_Imi,0.011732647007838524
feature_Guigou,-0.011712386658751397
feature_Agadir,-0.011656789965369029
feature_Iferouane,-0.011467634838613926
feature_Tanant,-0.011428117222637155
feature_Agoundis,0.010910463368903108
feature_Ikkis,-0.01083459111362361
feature_Ijjoukak,0.010792306516954085
feature_Todgha,-0.010253111186326951
feature_Boumia,0.010132053040789178
feature_Tazouggart,-0.010035841968313896
feature_Sefrou,0.009795305661610843
feature_Imdiazen,-0.0097172501960436
feature_Tilouguite,0.009469947374160135
feature_Elksiba,-0.009373748389628638
feature_Tacheddirt,0.009143417888775877
feature_Enjil,-0.008950489808447431
feature_Tafingoult,-0.008836561947162445
feature_Itzer,0.008807986343222865
feature_Tizintaghatine,-0.008794604619399262
feature_Aferni,-0.008755489524735764
feature_Megdaz,0.008376123612105914
feature_Bintwidane,-0.008372150025456635
feature_Kandar,0.007934272234651953
feature_Asni,-0.007844060890158272
feature_Awzal,0.007666158483535719
feature_Lakhdar,0.007612850716862609
feature_Aoulouz,-0.007478544552224536
feature_Beniznassen,0.007380716074669129
feature_Dades,-0.007322836262068933
feature_Ouarkziz,-0.007205734159158358
feature_Goulmima,0.006629330522680508
feature_Tafedna,0.006563197600181169
feature_Isli,0.0065334768808648705
feature_Ansous,0.006407818829442337
feature_Ribatelkheir,-0.006334625468879864
feature_Tizourgane,0.006046065678598906
feature_Timahdite,0.006030293229620974
feature_Oukaimeden,-0.0059481602134172735
feature_Rougoult,-0.005918109307081653
feature_Boulemane,0.005576196753998677
feature_Tensift,-0.00556319748064333
feature_Foumjemaa,-0.005459361941734319
feature_Aitimi,0.005404633151846405
feature_Bouhachem,-0.0051279204535037365
feature_Tatoute,-0.005086231972081001
feature_Rheris,-0.005056988876599506
feature_Zawyat,0.005027320834994522
feature_Demnate,-0.0050018701740097106
feature_Taliouine,0.004980279788179789
feature_Itri,0.004895831057091887
feature_Aman,-0.004884791476864445
